Adresse,Postnummer,Poststed,Lat,Lon
Nørvegata 36C,6008,ÅLESUND,62.47109912990162,6.208344157700587
Nørvegata 36D,6008,ÅLESUND,62.471093265873726,6.208499949783431
Nørvegata 36E,6008,ÅLESUND,62.47110533229761,6.208654066888855
Nørvegata 36F,6008,ÅLESUND,62.47110765801881,6.208770282872103
Nørvegata 38B,6008,ÅLESUND,62.470916285464504,6.208632915028918
Nørvegata 38C,6008,ÅLESUND,62.47086326883949,6.2086766781254505
Nørvegata 38D,6008,ÅLESUND,62.47081025219953,6.208720441064706
Nørvegata 39,6008,ÅLESUND,62.47172367286447,6.210827987444971
Nørvegata 40A,6008,ÅLESUND,62.471132565235244,6.209117256300146
Nørvegata 40B,6008,ÅLESUND,62.47114424343556,6.209252004510092
Nørvegata 40C,6008,ÅLESUND,62.47114734371301,6.209406959439457
Nørvegata 40D,6008,ÅLESUND,62.47115940913839,6.209561077214679
Nørvegata 40E,6008,ÅLESUND,62.47116250907315,6.209716032263378
Nørvegata 40F,6008,ÅLESUND,62.471219970759634,6.209858537399968
Nørvegata 41,6008,ÅLESUND,62.47171774809824,6.211430123740672
Nørvegata 42A,6008,ÅLESUND,62.470943906022015,6.209115470725667
